           .000        .0000        .0000     999.9553      44.9680
      352.238        .0199        .0076    1000.1160      44.9644
      733.845        .0799        .0055     999.8719      44.9776
      988.250        .3999        .0682     999.8110      44.8870
     1157.853       1.1142        .8008    1014.5640      44.8362
     1270.922       1.6291       2.8793    1042.4470      45.6816
     1346.301        .9923       6.1416    1053.3580      47.8970
     1396.553      -1.1594       9.4418    1021.3400      51.2103
     1430.055      -4.0724      11.4507     947.8527      54.8941
     1452.390      -6.4636      11.7936     859.3586      58.1632
     1467.280      -7.7119      11.0971     782.5172      60.6072
     1477.206      -8.0420      10.0938     727.1038      62.2509
     1483.824      -7.9104       9.1712     690.5790      63.3029
     1488.235      -7.6331       8.4458     667.2778      63.9672
     1491.177      -7.3548       7.9137     652.4828      64.3877
     1494.118      -7.0011       7.3455     638.4280      64.7873
     1497.059      -6.5774       6.7463     625.2469      65.1624
     1500.000      -6.0862       6.1182     613.0598      65.5105
     1502.941      -5.5315       5.4637     601.9742      65.8289
     1505.882      -4.9182       4.7857     592.0881      66.1143
     1508.824      -4.2527       4.0868     583.4786      66.3646
     1511.765      -3.5417       3.3697     576.2149      66.5769
     1514.706      -2.7929       2.6375     570.3470      66.7494
     1517.647      -2.0143       1.8935     565.9139      66.8807
     1520.588      -1.2141       1.1410     562.9448      66.9688
     1523.529       -.4012        .3836     561.4564      67.0132
     1526.471        .4161       -.3754     561.4586      67.0131
     1529.412       1.2291      -1.1327     562.9489      66.9689
     1532.353       2.0291      -1.8848     565.9225      66.8804
     1535.294       2.8077      -2.6284     570.3580      66.7493
     1538.235       3.5566      -3.3605     576.2287      66.5767
     1541.176       4.2676      -4.0776     583.4951      66.3644
     1544.118       4.9332      -4.7765     592.1052      66.1145
     1547.059       5.5465      -5.4547     601.9949      65.8290
     1550.000       6.1014      -6.1094     613.0822      65.5109
     1552.941       6.5927      -6.7377     625.2722      65.1628
     1555.882       7.0166      -7.3371     638.4559      64.7877
     1558.823       7.3703      -7.9057     652.5138      64.3881
     1561.765       7.6488      -8.4381     667.3130      63.9673
     1566.176       7.9262      -9.1636     690.6192      63.3028
     1572.794       8.0580     -10.0864     727.1505      62.2507
     1582.720       7.7280     -11.0895     782.5724      60.6064
     1597.610       6.4802     -11.7859     859.4214      58.1626
     1619.945       4.0894     -11.4430     947.9185      54.8931
     1653.447       1.1770      -9.4340    1021.3990      51.2093
     1703.699       -.9739      -6.1339    1053.3900      47.8956
     1779.078      -1.6087      -2.8715    1042.4470      45.6804
     1892.147      -1.0892       -.7924    1014.5690      44.8343
     2061.750       -.3670       -.0553     999.9703      44.8859
     2316.155        .0000        .0000     999.5644      44.9844
 
